"Время"; "Значение"

0; 264,9880902890164
0,001; 265,0116333951263
0,002; 265,000471585891
0,003; 264,96689946474356
0,004; 264,95928898940303
0,005; 264,95003682662593
0,006; 265,008864588436
0,007; 265,13450721199314
0,008; 265,23345527806015
0,009; 265,30680921506064
0,01; 265,32433544344985
0,011; 265,2279365221596
0,012; 265,16798921370173
0,013; 265,08697006326565
0,014; 264,79939608144514
0,015; 264,37523299266815
0,016; 264,01856649620487
0,017; 263,6242624384639
0,018; 263,0793736848807
0,019; 262,4544771546674
0,02; 261,8365797120143
0,021; 261,2294732720757
0,022; 260,6349137570862
0,023; 260,06004189398897
0,024; 259,5540382958337
0,025; 259,0960384017177
0,026; 258,5910077322076
0,027; 258,1360974639258
0,028; 257,83623210634
0,029; 257,5379643174608
0,03; 257,1251523146135
0,031; 256,6921138164396
0,032; 256,2633531714597
0,033; 255,78554773312362
0,034; 255,1694744264825
0,035; 254,51914097582926
0,036; 253,974465780998
0,037; 253,4105436957723
0,038; 252,72348175721692
0,039; 252,02928860469655
0,04; 251,47111847472635
0,041; 250,98541872542233
0,042; 250,33666272850894
0,043; 249,6244813036369
0,044; 248,96013174722586
0,045; 248,3729534118393
0,046; 247,88894879034046
0,047; 247,48470958627126
0,048; 247,17797947413607
0,049; 246,85076029306438
0,05; 246,4519365201176
0,051; 246,06450407993495
0,052; 245,65781917880588
0,053; 245,24462364671598
0,054; 244,8249834950468
0,055; 244,45244547016227
0,056; 244,0159981307282
0,057; 243,5693173990686
0,058; 243,2133078686556
0,059; 242,9064787347137
0,06; 242,56004290982756
0,061; 242,2392862394228
0,062; 242,03635818108916
0,063; 241,93011683129208
0,064; 241,86118936383193
0,065; 241,84200526484727
0,066; 241,90454045572312
0,067; 241,97464080487265
0,068; 242,002985609429
0,069; 242,05662912119115
0,07; 242,0823621730334
0,071; 242,11922997861132
0,072; 242,13589989043942
0,073; 242,14336387870475
0,074; 242,20172330912857
0,075; 242,30704568375558
0,076; 242,32896728450797
0,077; 242,3262553932222
0,078; 242,36981136255264
0,079; 242,4863679538037
0,08; 242,61385992783653
0,081; 242,71807278959648
0,082; 242,79188402495618
0,083; 242,84250391910177
0,084; 242,86025239990192
0,085; 242,85452589185658
0,086; 242,91764917175982
0,087; 242,98863530905572
0,088; 243,00606997057787
0,089; 243,03394688997076
0,09; 243,13235342529384
0,091; 243,26719945449207
0,092; 243,37925712940722
0,093; 243,5338756667283
0,094; 243,8768056808987
0,095; 244,35622832843413
0,096; 244,77316133423068
0,097; 245,27128814698895
0,098; 245,99353543843904
0,099; 246,8964551326758
0,1; 247,82200172228693
0,101; 248,83667709514387
0,102; 250,00079086078034
0,103; 251,26109847172526
0,104; 252,45536610341446
0,105; 253,57856703731073
0,106; 254,7575313789744
0,107; 255,83491137958646
0,108; 256,80191972728267
0,109; 257,7587342024865
0,11; 258,73509688171873
0,111; 259,60367156399906
0,112; 260,3590858367876
0,113; 261,0579993809557
0,114; 261,7886469858437
0,115; 262,46418336671843
0,116; 263,08148045637824
0,117; 263,6685560570528
0,118; 264,2551498153532
0,119; 264,8931504605497
0,12; 265,58014546112867
0,121; 266,26855364530354
0,122; 266,92265636394234
0,123; 267,47666987912726
0,124; 267,9411914461386
0,125; 268,24702080638895
0,126; 268,49776741014824
0,127; 268,6664421993086
0,128; 268,77748219015064
0,129; 268,84302059424044
0,13; 268,99733629547893
0,131; 269,2242281755354
0,132; 269,38390827078
0,133; 269,496911601067
0,134; 269,69036889135
0,135; 269,84264179499075
0,136; 270,00653373586664
0,137; 270,1954881203768
0,138; 270,3323844801396
0,139; 270,42364552599133
0,14; 270,664847956128
0,141; 271,00493528502324
0,142; 271,2151833949323
0,143; 271,3391515854411
0,144; 271,5942717705083
0,145; 271,90088126772594
0,146; 272,0610635941728
0,147; 272,1726642905644
0,148; 272,4003540291636
0,149; 272,6455199649724
0,15; 272,8514464754223
0,151; 273,0429158330501
0,152; 273,2916169229874
0,153; 273,5590148734743
0,154; 273,7928341287446
0,155; 273,95803952786184
0,156; 274,16597435644036
0,157; 274,3466179267964
0,158; 274,39347105239483
0,159; 274,2886326758133
0,16; 274,1782425445896
0,161; 273,99689826512065
0,162; 273,74440754097174
0,163; 273,5083757726938
0,164; 273,3794941354082
0,165; 273,30150269971574
0,166; 273,06497730096874
0,167; 272,8647236032326
0,168; 272,73259240829987
0,169; 272,62691821887597
0,17; 272,5713617688655
